ID,Date,Name,Industry,Inception,Revenue,Expenses,Profit,Growth
1,Yes,Lamtone,IT Services,2009,"$11,757,018 ","6,482,465 Dollars",5274553,30%
2,Yes,Stripfind,Financial Services,2010,"$12,329,371 ","916,455 Dollars",11412916,20%
3,No,Canecorporation,Health,2012,"$10,597,009 ","7,591,189 Dollars",3005820,7%
4,Yes,Mattouch,IT Services,2013,"$14,026,934 ","7,429,377 Dollars",0,26%
5,Yes,Techdrill,Health,2009,"$10,573,990 ","7,435,363 Dollars",0,8%
6,Yes,Techline,Health,2006,"$13,898,119 ","5,470,303 Dollars",0,23%
7,No,Cityace,Health,2010,"$9,254,614 ","6,249,498 Dollars",0,6%
8,Yes,Kayelectronics,Health,2009,"$9,451,943 ","3,878,113 Dollars",5573830,4%
9,No,Ganzlax,IT Services,2011,"$14,001,180 ",,11901180,18%
10,Yes,Trantraxlax,Government Services,2011,"$11,088,336 ","5,635,276 Dollars",5453060,7%
11,Yes,Techdrill,Health,not available,"$10,573,990 ",#N/A,3138627,8%
12,NaN,NaN,NaN,2024,NaN,NaN,NaN,12%
